time,P_0,P_1,P_2,P_3,sound_speed
0.0,,,,,341.16
0.004,,,,,341.16
0.008,,,,,341.16
0.012,,,,,341.16
0.016,,,,,341.16
0.02,,,,,341.16
0.024,,,,,341.16
0.028,,,,,341.16
0.032,,,,,341.16
0.036,,,,,341.16
0.04,,,,,341.16
0.044,,,,,341.16
0.048,,,,,341.16
0.052,,,,,341.16
0.056,,,,,341.16
0.06,,,,,341.16
0.064,,,,,341.16
0.068,,,,,341.16
0.072,,,,,341.16
0.076,,,,,341.16
0.08,,,,,341.16
0.084,,,,,341.16
0.088,,,,,341.16
0.092,,,,,341.16
0.096,,,,,341.16
0.1,,,,,341.16
0.104,,,,,341.16
0.108,,,,,341.16
0.112,,,,,341.16
0.116,,,,,341.16
0.12,,,,,341.16
0.124,,,,,341.16
0.128,,,,,341.16
0.132,,,,,341.16
0.136,,,,,341.16
0.14,,,,,341.16
0.144,,,,,341.16
0.148,,,,,341.16
0.152,,,,,341.16
0.156,,,,,341.16
0.16,,,,,341.16
0.164,,,,,341.16
0.168,,,,,341.16
0.172,,,,,341.16
0.176,,,,,341.16
0.18,,,,,341.16
0.184,,,,,341.16
0.188,,,,,341.16
0.192,,,,,341.16
0.196,,,,,341.16
0.2,,,,,341.16
0.204,,,,,341.16
0.208,,,,,341.16
0.212,,,,,341.16
0.216,,,,,341.16
0.22,,,,,341.16
0.224,,,,,341.16
0.228,,,,,341.16
0.232,,,,,341.16
0.236,,,,,341.16
0.24,,,,,341.16
0.244,,,,,341.16
0.248,,,,,341.16
0.252,,,,,341.16
0.256,,,,,341.16
0.26,,,,,341.16
0.264,,,,,341.16
0.268,,,,,341.16
0.272,,,,,341.16
0.276,,,,,341.16
0.28,,,,,341.16
0.284,,,,,341.16
0.288,,,,,341.16
0.292,,,,,341.16
0.296,,,,,341.16
0.3,,,,,341.16
0.304,,,,,341.16
0.308,,,,,341.16
0.312,,,,,341.16
0.316,,,,,341.16
0.32,,,,,341.16
0.324,,,,,341.16
0.328,,,,,341.16
0.332,,,,,341.16
0.336,,,,,341.16
0.34,,,,,341.16
0.344,,,,,341.16
0.348,,,,,341.16
0.352,,,,,341.16
0.356,,,,,341.16
0.36,,,,,341.16
0.364,,,,,341.16
0.368,,,,,341.16
0.372,,,,,341.16
0.376,,,,,341.16
0.38,,,,,341.16
0.384,,,,,341.16
0.388,,,,,341.16
0.392,,,,,341.16
0.396,,,,,341.16
0.4,,,,,341.16
0.404,,,,,341.16
0.408,,,,,341.16
0.412,,,,,341.16
0.416,,,,,341.16
0.42,,,,,341.16
0.424,,,,,341.16
0.428,,,,,341.16
0.432,,,,,341.16
0.436,,,,,341.16
0.44,,,,,341.16
0.444,,,,,341.16
0.448,,,,,341.16
0.452,,,,,341.16
0.456,,,,,341.16
0.46,,,,,341.16
0.464,,,,,341.16
0.468,,,,,341.16
0.472,,,,,341.16
0.476,,,,,341.16
0.48,,,,,341.16
0.484,,,,,341.16
0.488,,,,,341.16
0.492,,,,,341.16
0.496,,,,,341.16
0.5,,,,,341.16
0.504,,,,,341.16
0.508,,,,,341.16
0.512,,,,,341.16
0.516,,,,,341.16
0.52,,,,,341.16
0.524,,,,,341.16
0.528,,,,,341.16
0.532,,,,,341.16
0.536,,,,,341.16
0.54,,,,,341.16
0.544,,,,,341.16
0.548,,,,,341.16
0.552,,,,,341.16
0.556,,,,,341.16
0.56,,,,,341.16
0.564,,,,,341.16
0.568,,,,,341.16
0.572,,,,,341.16
0.576,,,,,341.16
0.58,,,,,341.16
0.584,,,,,341.16
0.588,,,,,341.16
0.592,,,,,341.16
0.596,,,,,341.16
0.6,,,,,341.16
0.604,,,,,341.16
0.608,,,,,341.16
0.612,,,,,341.16
0.616,,,,,341.16
0.62,,,,,341.16
0.624,,,,,341.16
0.628,,,,,341.16
0.632,,,,,341.16
0.636,,,,,341.16
0.64,,,,,341.16
0.644,,,,,341.16
0.648,,,,,341.16
0.652,,,,,341.16
0.656,,,,,341.16
0.66,,,,,341.16
0.664,,,,,341.16
0.668,,,,,341.16
0.672,,,,,341.16
0.676,,,,,341.16
0.68,,,,,341.16
0.684,,,,,341.16
0.688,,,,,341.16
0.692,,,,,341.16
0.696,,,,,341.16
0.7,,,,,341.16
0.704,,,,,341.16
0.708,,,,,341.16
0.712,,,,,341.16
0.716,,,,,341.16
0.72,,,,,341.16
0.724,,,,,341.16
0.728,,,,,341.16
0.732,,,,,341.17
0.736,,,,,341.17
0.74,,,,,341.17
0.744,,,,,341.17
0.748,,,,,341.17
0.752,,,,,341.17
0.756,,,,,341.17
0.76,,,,,341.17
0.764,,,,,341.17
0.768,,,,,341.17
0.772,,,,,341.17
0.776,,,,,341.17
0.78,,,,,341.17
0.784,,,,,341.17
0.788,,,,,341.17
0.792,,,,,341.17
0.796,,,,,341.17
0.8,,,,,341.17
0.804,,,,,341.17
0.808,,,,,341.17
0.812,,,,,341.17
0.816,,,,,341.17
0.82,,,,,341.17
0.824,,,,,341.17
0.828,,,,,341.17
0.832,,,,,341.17
0.836,,,,,341.17
0.84,,,,,341.17
0.844,,,,,341.17
0.848,,,,,341.17
0.852,,,,,341.17
0.856,,,,,341.17
0.86,,,,,341.17
0.864,,,,,341.17
0.868,,,,,341.17
0.872,,,,,341.17
0.876,,,,,341.17
0.88,,,,,341.17
0.884,,,,,341.17
0.888,,,,,341.17
0.892,,,,,341.17
0.896,,,,,341.17
0.9,,,,,341.17
0.904,,,,,341.17
0.908,,,,,341.17
0.912,,,,,341.17
0.916,,,,,341.17
0.92,,,,,341.17
0.924,,,,,341.17
0.928,,,,,341.17
0.932,,,,,341.17
0.936,,,,,341.17
0.94,,,,,341.17
0.944,,,,,341.17
0.948,,,,,341.17
0.952,,,,,341.17
0.956,,,,,341.17
0.96,,,,,341.17
0.964,,,,,341.17
0.968,,,,,341.17
0.972,,,,,341.17
0.976,,,,,341.17
0.98,,,,,341.17
0.984,,,,,341.17
0.988,,,,,341.17
0.992,,,,,341.17
0.996,,,,,341.17
1.0,,,,,341.17
1.004,,,,,341.17
1.008,,,,,341.17
1.012,,,,,341.17
1.016,,,,,341.17
1.02,,,,,341.17
1.024,,,,,341.17
1.028,,,,,341.17
1.032,,,,,341.17
1.036,,,,,341.17
1.04,,,,,341.17
1.044,,,,,341.17
1.048,,,,,341.17
1.052,,,,,341.17
1.056,,,,,341.17
1.06,,,,,341.17
1.064,,,,,341.17
1.068,,,,,341.17
1.072,,,,,341.17
1.076,,,,,341.17
1.08,,,,,341.17
1.084,,,,,341.17
1.088,,,,,341.17
1.092,,,,,341.17
1.096,,,,,341.17
1.1,,,,,341.17
1.104,,,,,341.17
1.108,,,,,341.17
1.112,,,,,341.17
1.116,,,,,341.17
1.12,,,,,341.17
1.124,,,,,341.17
1.128,,,,,341.17
1.132,,,,,341.17
1.136,,,,,341.17
1.14,,,,,341.17
1.144,,,,,341.17
1.148,,,,,341.17
1.152,,,,,341.17
1.156,,,,,341.17
1.16,,,,,341.17
1.164,,,,,341.17
1.168,,,,,341.17
1.172,,,,,341.17
1.176,,,,,341.17
1.18,,,,,341.17
1.184,,,,,341.17
1.188,,,,,341.17
1.192,,,,,341.17
1.196,,,,,341.17
1.2,,,,,341.17
1.204,,,,,341.17
1.208,,,,,341.17
1.212,,,,,341.17
1.216,,,,,341.17
1.22,,,,,341.17
1.224,,,,,341.17
1.228,,,,,341.17
1.232,,,,,341.17
1.236,,,,,341.17
1.24,,,,,341.17
1.244,,,,,341.17
1.248,,,,,341.17
1.252,,,,,341.17
1.256,,,,,341.17
1.26,,,,,341.17
1.264,,,,,341.17
1.268,,,,,341.17
1.272,,,,,341.17
1.276,,,,,341.17
1.28,,,,,341.17
1.284,,,,,341.17
1.288,,,,,341.17
1.292,,,,,341.17
1.296,,,,,341.17
1.3,,,,,341.17
1.304,,,,,341.17
1.308,,,,,341.17
1.312,,,,,341.17
1.316,,,,,341.17
1.32,,,,,341.17
1.324,,,,,341.17
1.328,,,,,341.17
1.332,,,,,341.17
1.336,,,,,341.17
1.34,,,,,341.17
1.344,,,,,341.17
1.348,,,,,341.17
1.352,,,,,341.17
1.356,,,,,341.17
1.36,,,,,341.17
1.364,,,,,341.17
1.368,,,,,341.17
1.372,,,,,341.17
1.376,,,,,341.17
1.38,,,,,341.17
1.384,,,,,341.17
1.388,,,,,341.17
1.392,,,,,341.17
1.396,,,,,341.17
1.4,,,,,341.17
1.404,,,,,341.17
1.408,,,,,341.17
1.412,,,,,341.17
1.416,,,,,341.17
1.42,,,,,341.17
1.424,,,,,341.17
1.428,,,,,341.17
1.432,,,,,341.17
1.436,,,,,341.17
1.44,,,,,341.17
1.444,,,,,341.17
1.448,,,,,341.17
1.452,,,,,341.17
1.456,,,,,341.17
1.46,,,,,341.17
1.464,,,,,341.17
1.468,,,,,341.17
1.472,,,,,341.17
1.476,,,,,341.17
1.48,,,,,341.17
1.484,,,,,341.17
1.488,,,,,341.17
1.492,,,,,341.17
1.496,,,,,341.17
1.5,,,,,341.17
1.504,,,,,341.17
1.508,,,,,341.17
1.512,,,,,341.17
1.516,,,,,341.17
1.52,,,,,341.17
1.524,,,,,341.17
1.528,,,,,341.17
1.532,,,,,341.17
1.536,,,,,341.17
1.54,,,,,341.17
1.544,,,,,341.17
1.548,,,,,341.17
1.552,,,,,341.17
1.556,,,,,341.17
1.56,,,,,341.17
1.564,,,,,341.17
1.568,,,,,341.17
1.572,,,,,341.17
