time,P_0,P_1,P_2,P_3,sound_speed
0.0,,,,,342.95
0.004,,,,,342.95
0.008,,,,,342.95
0.012,,,,,342.95
0.016,,,,,342.95
0.02,,,,,342.95
0.024,,,,,342.95
0.028,,,,,342.95
0.032,,,,,342.95
0.036,,,,,342.95
0.04,,,,,342.95
0.044,,,,,342.95
0.048,,,,,342.95
0.052,,,,,342.95
0.056,,,,,342.95
0.06,,,,,342.95
0.064,,,,,342.95
0.068,,,,,342.95
0.072,,,,,342.95
0.076,,,,,342.95
0.08,,,,,342.95
0.084,,,,,342.95
0.088,,,,,342.95
0.092,,,,,342.95
0.096,,,,,342.95
0.1,,,,,342.95
0.104,,,,,342.95
0.108,,,,,342.95
0.112,,,,,342.95
0.116,,,,,342.95
0.12,,,,,342.95
0.124,,,,,342.95
0.128,,,,,342.96
0.132,,,,,342.96
0.136,,,,,342.96
0.14,,,,,342.96
0.144,,,,,342.96
0.148,,,,,342.96
0.152,,,,,342.96
0.156,,,,,342.96
0.16,,,,,342.96
0.164,,,,,342.96
0.168,,,,,342.96
0.172,,,,,342.96
0.176,,,,,342.96
0.18,,,,,342.96
0.184,,,,,342.96
0.188,,,,,342.96
0.192,,,,,342.96
0.196,,,,,342.96
0.2,,,,,342.96
0.204,,,,,342.96
0.208,,,,,342.96
0.212,,,,,342.96
0.216,,,,,342.96
0.22,,,,,342.96
0.224,,,,,342.96
0.228,,,,,342.96
0.232,,,,,342.96
0.236,,,,,342.96
0.24,,,,,342.96
0.244,,,,,342.96
0.248,,,,,342.96
0.252,,,,,342.96
0.256,,,,,342.96
0.26,,,,,342.96
0.264,,,,,342.96
0.268,,,,,342.96
0.272,,,,,342.96
0.276,,,,,342.96
0.28,,,,,342.96
0.284,,,,,342.96
0.288,,,,,342.96
0.292,,,,,342.96
0.296,,,,,342.96
0.3,,,,,342.96
0.304,,,,,342.96
0.308,,,,,342.96
0.312,,,,,342.96
0.316,,,,,342.96
0.32,,,,,342.96
0.324,,,,,342.96
0.328,,,,,342.96
0.332,,,,,342.96
0.336,,,,,342.96
0.34,,,,,342.96
0.344,,,,,342.96
0.348,,,,,342.96
0.352,,,,,342.96
0.356,,,,,342.96
0.36,,,,,342.96
0.364,,,,,342.96
0.368,,,,,342.96
0.372,,,,,342.96
0.376,,,,,342.96
0.38,,,,,342.96
0.384,,,,,342.96
0.388,,,,,342.96
0.392,,,,,342.96
0.396,,,,,342.96
0.4,,,,,342.96
0.404,,,,,342.96
0.408,,,,,342.96
0.412,,,,,342.96
0.416,,,,,342.96
0.42,,,,,342.96
0.424,,,,,342.96
0.428,,,,,342.96
0.432,,,,,342.96
0.436,,,,,342.96
0.44,,,,,342.96
0.444,,,,,342.96
0.448,,,,,342.96
0.452,,,,,342.96
0.456,,,,,342.96
0.46,,,,,342.96
0.464,,,,,342.96
0.468,,,,,342.96
0.472,,,,,342.96
0.476,,,,,342.96
0.48,,,,,342.96
0.484,,,,,342.96
0.488,,,,,342.96
0.492,,,,,342.96
0.496,,,,,342.96
0.5,,,,,342.96
0.504,,,,,342.96
0.508,,,,,342.96
0.512,,,,,342.96
0.516,,,,,342.96
0.52,,,,,342.96
0.524,,,,,342.96
0.528,,,,,342.96
0.532,,,,,342.96
0.536,,,,,342.96
0.54,,,,,342.96
0.544,,,,,342.96
0.548,,,,,342.96
0.552,,,,,342.96
0.556,,,,,342.96
0.56,,,,,342.96
0.564,,,,,342.96
0.568,,,,,342.96
0.572,,,,,342.96
0.576,,,,,342.96
0.58,,,,,342.96
0.584,,,,,342.96
0.588,,,,,342.96
0.592,,,,,342.96
0.596,,,,,342.96
0.6,,,,,342.96
0.604,,,,,342.96
0.608,,,,,342.96
0.612,,,,,342.96
0.616,,,,,342.96
0.62,,,,,342.96
0.624,,,,,342.96
0.628,,,,,342.96
0.632,,,,,342.96
0.636,,,,,342.96
0.64,,,,,342.96
0.644,,,,,342.96
0.648,,,,,342.96
0.652,,,,,342.96
0.656,,,,,342.96
0.66,,,,,342.96
0.664,,,,,342.96
0.668,,,,,342.96
0.672,,,,,342.96
0.676,,,,,342.96
0.68,,,,,342.96
0.684,,,,,342.96
0.688,,,,,342.96
0.692,,,,,342.96
0.696,,,,,342.96
0.7,,,,,342.96
0.704,,,,,342.96
0.708,,,,,342.96
0.712,,,,,342.96
0.716,,,,,342.96
0.72,,,,,342.96
0.724,,,,,342.96
0.728,,,,,342.96
0.732,,,,,342.96
0.736,,,,,342.96
0.74,,,,,342.96
0.744,,,,,342.96
0.748,,,,,342.96
0.752,,,,,342.96
0.756,,,,,342.96
0.76,,,,,342.96
0.764,,,,,342.96
0.768,,,,,342.96
0.772,,,,,342.96
0.776,,,,,342.96
0.78,,,,,342.96
0.784,,,,,342.96
0.788,,,,,342.96
0.792,,,,,342.96
0.796,,,,,342.96
0.8,,,,,342.96
0.804,,,,,342.96
0.808,,,,,342.96
0.812,,,,,342.96
0.816,,,,,342.96
0.82,,,,,342.96
0.824,,,,,342.96
0.828,,,,,342.96
0.832,,,,,342.96
0.836,,,,,342.96
0.84,,,,,342.96
0.844,,,,,342.96
0.848,,,,,342.96
0.852,,,,,342.96
0.856,,,,,342.96
0.86,,,,,342.96
0.864,,,,,342.96
0.868,,,,,342.96
0.872,,,,,342.96
0.876,,,,,342.96
0.88,,,,,342.96
0.884,,,,,342.96
0.888,,,,,342.96
0.892,,,,,342.96
0.896,,,,,342.96
0.9,,,,,342.96
0.904,,,,,342.96
0.908,,,,,342.96
0.912,,,,,342.96
0.916,,,,,342.96
0.92,,,,,342.96
0.924,,,,,342.96
0.928,,,,,342.96
0.932,,,,,342.96
0.936,,,,,342.96
0.94,,,,,342.96
0.944,,,,,342.96
0.948,,,,,342.96
0.952,,,,,342.96
0.956,,,,,342.96
0.96,,,,,342.96
0.964,,,,,342.96
0.968,,,,,342.96
0.972,,,,,342.96
0.976,,,,,342.96
0.98,,,,,342.96
0.984,,,,,342.96
0.988,,,,,342.96
0.992,,,,,342.96
0.996,,,,,342.96
1.0,,,,,342.96
1.004,,,,,342.96
1.008,,,,,342.96
1.012,,,,,342.96
1.016,,,,,342.96
1.02,,,,,342.96
1.024,,,,,342.96
1.028,,,,,342.96
1.032,,,,,342.96
1.036,,,,,342.96
1.04,,,,,342.96
1.044,,,,,342.96
1.048,,,,,342.96
1.052,,,,,342.96
1.056,,,,,342.96
1.06,,,,,342.96
1.064,,,,,342.96
1.068,,,,,342.96
1.072,,,,,342.96
1.076,,,,,342.96
1.08,,,,,342.96
