time,P_0,P_1,P_2,P_3,sound_speed
0.0,,,,,341.64
0.004,,,,,341.64
0.008,,,,,341.64
0.012,,,,,341.64
0.016,,,,,341.64
0.02,,,,,341.64
0.024,,,,,341.64
0.028,,,,,341.64
0.032,,,,,341.64
0.036,,,,,341.64
0.04,,,,,341.64
0.044,,,,,341.64
0.048,,,,,341.64
0.052,,,,,341.64
0.056,,,,,341.64
0.06,,,,,341.64
0.064,,,,,341.64
0.068,,,,,341.64
0.072,,,,,341.64
0.076,,,,,341.64
0.08,,,,,341.64
0.084,,,,,341.64
0.088,,,,,341.64
0.092,,,,,341.64
0.096,,,,,341.64
0.1,,,,,341.64
0.104,,,,,341.64
0.108,,,,,341.64
0.112,,,,,341.64
0.116,,,,,341.64
0.12,,,,,341.64
0.124,,,,,341.64
0.128,,,,,341.64
0.132,,,,,341.64
0.136,,,,,341.64
0.14,,,,,341.64
0.144,,,,,341.64
0.148,,,,,341.64
0.152,,,,,341.64
0.156,,,,,341.64
0.16,,,,,341.64
0.164,,,,,341.64
0.168,,,,,341.64
0.172,,,,,341.64
0.176,,,,,341.64
0.18,,,,,341.64
0.184,,,,,341.64
0.188,,,,,341.64
0.192,,,,,341.64
0.196,,,,,341.64
0.2,,,,,341.64
0.204,,,,,341.64
0.208,,,,,341.64
0.212,,,,,341.64
0.216,,,,,341.64
0.22,,,,,341.64
0.224,,,,,341.64
0.228,,,,,341.64
0.232,,,,,341.64
0.236,,,,,341.64
0.24,,,,,341.64
0.244,,,,,341.64
0.248,,,,,341.64
0.252,,,,,341.64
0.256,,,,,341.64
0.26,,,,,341.64
0.264,,,,,341.64
0.268,,,,,341.64
0.272,,,,,341.64
0.276,,,,,341.64
0.28,,,,,341.64
0.284,,,,,341.64
0.288,,,,,341.64
0.292,,,,,341.64
0.296,,,,,341.64
0.3,,,,,341.64
0.304,,,,,341.64
0.308,,,,,341.64
0.312,,,,,341.64
0.316,,,,,341.64
0.32,,,,,341.64
0.324,,,,,341.64
0.328,,,,,341.64
0.332,,,,,341.64
0.336,,,,,341.64
0.34,,,,,341.64
0.344,,,,,341.64
0.348,,,,,341.64
0.352,,,,,341.64
0.356,,,,,341.64
0.36,,,,,341.64
0.364,,,,,341.64
0.368,,,,,341.64
0.372,,,,,341.64
0.376,,,,,341.64
